prefix,input_text,target_text
English to Thai,"3) The process of capping the bottle cap tightening by direct current electric motor and air cylinder with a sensor to order the air cylinder to push down to close the lid, and the DC electric motor rotates to close the lid to the screw, and 4) When the lid is closed, the stepping motor rotates to bring the closed water bottle to the leg conveyor.",3) ขั้นตอนการปิดฝาขวดน้ำดื่ม ทำการขันฝาขวดด้วยมอเตอร์ไฟฟ้ากระแสตรงและกระบอกลม โดยมีเซนเซอร์สั่งการให้กระบอกลมดันลงมาปิดฝาและมอเตอร์ไฟฟ้ากระแสตรงหมุนเพื่อทำการปิดฝาให้เข้าเกลียว และ 4) เมื่อปิดฝาเสร็จสเต็ปมอเตอร์หมุนเพื่อนำตัวขวดน้ำที่ปิดแล้วไปที่สายพานลำเลียงขาออก ทำการทดสอบประสิทธิภาพการทำงานของเครื่องบรรจุน้ำดื่มอัตโนมัติ มาตรฐานการวิเคราะห์ทางสถิติ (analytical statistics) ถูกนำมาประยุกต์ใช้สำหรับการวิเคราะห์ผลการทดสอบของเครื่องบรรจุน้ำดื่มอัตโนมัติ
English to Thai,"The operation of the automatic drinking water filling machine was tested using statistical analysis standards with a total of 30 tests consisting of 3 values: finding the average value of the bottled drinking water volume at 597.27 milliliters and the standard deviation is 2.87 and the root mean square error (RMSE) is 1.95, meaning the water filling machine has an error of ± 1.95. The test results to find the optimum production cycle time of 12 minutes and the water filling rate found that it could fill an average of 8 bottles of water per minute.",โดยทำการทดสอบทั้งหมด 30 ครั้ง ประกอบด้วย 3 ค่า คือ การหาค่าเฉลี่ยของปริมาณน้ำดื่มที่บรรจุได้อยู่ที่ 597.27 มิลลิลิตร ค่าเบี่ยงเบนมาตรฐาน (SD) อยู่ที่ 2.87 และคารากที่สองของค่าความคลาดเคลื่อนกำลังสอง (RMSE) มีค่า 1.95 แปลผลว่าเครื่องบรรจุน้ำคลาดเคลื่อนอยู่ที่ ± 1.95 มีผลการทดสอบหารอบเวลาการผลิตที่เหมาะสมอยู่ที่ 12 นาที และอัตราการบรรจุน้ำพบว่าสามารถบรรจุน้ำได้เฉลี่ย 8 ขวดต่อนาที
English to Thai,The energy consumption was found to use a maximum power of 32.1 W with an energy of 0.6 Wh per bottle.,ผลด้านการใช้พลังงานไฟฟ้าพบว่าใช้กำลังไฟฟ้าสูงสุด 32.1 วัตต์ โดยใช้พลังงานต่อการทำงาน 1 ขวดเท่ากับ 0.6 วัตต์ชั่วโมง
English to Thai,"The automatic drinking water filling machine that has been created has an Availability% is at 99%, a Performance% is at 100%, a quality rate is at 88.89% and an overall equipment effectiveness is at 88.00%.",เครื่องบรรจุน้ำดื่มอัตโนมัติที่ได้สร้างขึ้นมีอัตราการเดินเครื่องร้อยละ 99 ค่าประสิทธิภาพการเดินเครื่องร้อยละ 100 อัตราคุณภาพร้อยละ 88.89 และค่าประสิทธิผลโดยรวมของเครื่องจักร (Overall Equipment Effectiveness) อยู่ที่ร้อยละ 88.00
English to Thai,"Compared to industrial machines, automatic drinking water filling machines are generally considered to have good overall performance at a lower cost than the market price.",เมื่อเทียบกับเครื่องจักรในอุตสาหกรรมโดยทั่วไปถือว่าเครื่องบรรจุน้ำดื่มอัตโนมัติมีประสิทธิผลโดยรวมในระดับดี และในส่วนของต้นทุนในการสร้างเครื่องพบว่ามีราคาต่ำกว่าราคาขายบนท้องตลาด
English to Thai,The research discusses the single order inventory replenishment policy for a system consisting of three inventory items with substitutability.,งานวิจัยศึกษาการกำหนดนโยบายเติมเต็มวัสดุคงคลังครั้งเดียวสำหรับระบบที่มีวัสดุคงคลังสามประเภทสามารถใช้งานทดแทนกันได้
English to Thai,The leftovers of lower-cost inventory items can be either used to satisfy those demands occurred from the shortage of higher-cost inventory items with a specified ratio or sold at their salvage value.,วัสดุคงคลังคงเหลือที่มีต้นทุนต่ำกว่าสามารถนำมาใช้ตอบสนองอุปสงค์ที่ขาดแคลนของวัสดุคงคลังที่มีต้นทุนสูงกว่าด้วยอัตราส่วนทดแทนที่กำหนด หรือขายในราคามูลค่าซาก
English to Thai,"In order to determine the proper order quantity for each inventory item, the method based on the concept of mathematical solving on a Monte Carlo simulation model is proposed.",งานวิจัยได้นำเสนอวิธีการค้นหาคำตอบตัวแบบทางคณิตศาสตร์บนตัวแบบจำลองสถานการณ์มอนติคาร์โล ซึ่งถูกสร้างขึ้นบนแพลตฟอร์มของโปรแกรมไมโครซอฟท์เอ็กเซล และฟังก์ชันโซลเวอร์ถูกนำมาประยุกต์ใช้เพื่อกำหนดปริมาณการเติมเต็มวัสดุคงคลังแต่ละประเภทที่เหมาะสม
English to Thai,"This can be done by modeling the system on the Microsoft Excel platform and, with the objective function of maximizing the expected system profit, applying the solver function to determine a good solution.",โดยมีสมการวัตถุประสงค์คือการเพิ่มค่าคาดหวังผลกำไรรวมของระบบ
English to Thai,"For the performance evaluation, 120 experimental problems are randomly generated considering two main factors, salvage value (2 levels) and substitution ratio (2 levels), with 30 replications for each treatment combination.",เพื่อวัดประสิทธิภาพของวิธีการที่นำเสนอ ปัญหาทดสอบจำนวน 120 ปัญหา ถูกสุ่มขึ้นจากการพิจารณาปัจจัยมูลค่าซากสองระดับ และปัจจัยอัตราส่วนทดแทนสองระดับ โดยมีจำนวนการทำซ้ำ 30 ปัญหา ที่แต่ละระดับของปัจจัย
English to Thai,"The solution obtained from the proposed method is compared with the solution yielded from the traditional benefit analysis method, which is to independently determine the single order quantity of each inventory item without the consideration of substitution opportunity.",คำตอบที่ได้จากวิธีการที่นำเสนอถูกนำไปเปรียบเทียบกับ คำตอบที่ได้จากวิธีการวิเคราะห์ผลได้ประโยชน์ซึ่งพิจารณาปริมาณสั่งเติมเต็มวัสดุคงคลังแต่ละประเภทเป็นอิสระต่อกัน
English to Thai,"According to the study result, in comparison to the benefit analysis method, the proposed method provides a larger expected profit for all 120 experimental problems.",จากผลการทดสอบพบว่า วิธีการที่นำเสนอให้คำตอบที่มีค่าคาดหวังผลกำไรรวมของระบบสูงกว่าวิธีการวิเคราะห์ผลได้ประโยชน์ทั้ง 120 ปัญหาทดสอบ
English to Thai,"Moreover, the main influences of salvage value and substitution affect the percentage difference in profit between the proposed method and the benefit analysis approach.",ทั้งนี้อิทธิพลหลักของปัจจัยมูลค่าซากและปัจจัยอัตราส่วนทดแทน มีผลต่อเปอร์เซ็นต์ความแตกต่างของผลกำไรระหว่างวิธีการที่นำเสนอและวิธีการวิเคราะห์ผลได้ประโยชน์
English to Thai,"Here, the percentage difference in profit increases at the lower levels of both factors.",โดยเปอร์เซ็นต์ความแตกต่างของผลกำไรมีค่าสูงขึ้นที่ระดับต่ำของปัจจัยทั้งสอง
English to Thai,"At present, perpetual futures contracts on cryptocurrency trading still face the risk of ruin.",ในปัจจุบันการซื้อขายสัญญาแลกเปลี่ยนคริปโทเคอร์เรนซีของนักลงทุนยังคงประสบปัญหาเกิดความเสี่ยงในการล้มละลายจากการลงทุน
English to Thai,"Therefore, this research was conducted with the objectives of creating an algorithm of multiple indicators to predict the trading positions, developing the computer program for generating trading strategies, creating the automatic system for cryptocurrency perpetual futures contract trading, and measuring the financial performance of the automatic trading system.",การวิจัยครั้งนี้จึงมีวัตถุประสงค์เพื่อสร้างอัลกอริทึมสำหรับการทำนายจุดซื้อขายเชิงมิติชี้วัดที่หลากหลาย พัฒนาโปรแกรมคอมพิวเตอร์สำหรับสร้างกลยุทธ์การซื้อขาย สร้างระบบอัตโนมัติเพื่อการซื้อขายสัญญาแลกเปลี่ยนคริปโทเคอร์เรนซี และวัดประสิทธิภาพด้านการเงินของระบบอัตโนมัติเพื่อการซื้อขาย
English to Thai,"The financial performance measurement was divided into two parts: a backward test, which involved evaluating historical data over a 3-month period, and a forward test, which involved testing system using current real trading data during a 3-month period.",การวัดประสิทธิภาพด้านการเงินแบ่งเป็น 2 ส่วน คือ การทดสอบแบบย้อนหลัง (backward test) ซึ่งเป็นการทดสอบข้อมูลย้อนหลัง โดยกำหนดระยะเวลาในการทดสอบประสิทธิภาพเป็นระยะเวลา 3 เดือน และการทดสอบแบบไปข้างหน้า (forward test) ซึ่งเป็นการทดสอบโดยการใช้ข้อมูลการซื้อขายจริงเป็นปัจจุบันขณะที่ทดสอบ
English to Thai,The total testing duration was 6 months.,โดยกำหนดระยะเวลาในการทดสอบประสิทธิภาพเป็นระยะเวลา 3 เดือน รวมระยะเวลาทดสอบทั้งหมด 6 เดือน
English to Thai,"The results revealed that both the backward and the forward tests achieved a 3-month profitability efficiency of 130% and 140%, respectively.",ผลการศึกษาพบว่า การจำลองการทดสอบทั้งการทดสอบแบบย้อนหลังและการทดสอบแบบไปข้างหน้าสามารถทำกำไรต่อ 3 เดือน ได้ในระดับสูงถึงร้อยละ 130 และ 140 ตามลำดับ
English to Thai,"The overall accuracy rates were 72.00% and 80.39%, respectively.",และมีค่าความแม่นยำโดยรวมเท่ากับร้อยละ 72.00 และ 80.39 ตามลำดับ
English to Thai,It has been shown that investing with the automatic system for perpetual futures contracts on cryptocurrency trading using the algorithm of multiple indicators to predict the trading positions has the potential to generate greater returns than the general traders.,แสดงให้เห็นว่าการลงทุนด้วยระบบอัตโนมัติเพื่อการซื้อขายสัญญาแลกเปลี่ยนคริปโทเคอร์เรนซีโดยใช้อัลกอริทึมการทำนายจุดซื้อขายเชิงมิติชี้วัดที่หลากหลายสามารถสร้างผลตอบแทนได้มากกว่านักลงในทุนตลาด
English to Thai,"This research aimed to develop a 200-liter iron kiln to produce biochar and wood vinegar from pineapple leaves provided from Khao Khan Song sub-district, Sriracha district, Chon Buri province.",งานวิจัยนี้มีวัตถุประสงค์เพื่อพัฒนาเตาเผาจากถังเหล็กขนาด 200 ลิตร สำหรับผลิตถ่านชีวภาพและน้ำส้มควันไม้จากใบสับปะรด ในพื้นที่ตำบลเขาคันทรง อำเภอศรีราชา จังหวัดชลบุรี
English to Thai,The preliminary experiments were conducted in the laboratory scale to determine the optimum operating temperature and time for biochar production.,โดยทำการทดลองเบื้องต้นในห้องปฏิบัติการเพื่อหาอุณหภูมิและเวลาที่เหมาะสมต่อการผลิตถ่านชีวภาพ
English to Thai,"The experimental results showed that the highest solid yield was 33.02 wt.%, obtained at 400 °C and for 1 h, with the highest heating value as 23.25 MJ/kg.",จากการทดลองพบว่าผลได้ของแข็งสูงที่สุด คือ ร้อยละ 33.02 ที่อุณหภูมิ 400 องศาเซลเซียส เวลา 1 ชั่วโมง และมีค่าความร้อนสูงสุดเท่ากับ 23.25 เมกะจูลต่อกิโลกรัม
English to Thai,"The 200-liter iron kiln was then developed consisting of 3 parts: biochar production kiln, condensation apparatus for storing wood vinegar and combustion kiln for heat production.",จากนั้นทำการพัฒนาเตาเผาที่ประกอบด้วย เตาเผาเพื่อผลิตถ่านชีวภาพ ชุดท่อควบแน่นเพื่อเก็บน้ำส้มควันไม้ และเตาเผาไหม้เพื่อให้ความร้อนแก่เตาเผาส่วนแรก
English to Thai,It was found that the developed 200-liter iron kiln could produce biochar and wood vinegar from pineapple leaves.,จากการทดลองพบว่าเตาเผาที่พัฒนาขึ้นสามารถผลิตถ่านชีวภาพจากใบสับปะรดและน้ำส้มควันไม้ได้
English to Thai,The 20 kg of pineapple leaves can produce approximately 2 kg of biochar and 10 kg of wood vinegar.,โดยใบสับปะรด 20 กิโลกรัม สามารถผลิตถ่านชีวภาพได้ประมาณ 2 กิโลกรัม และน้ำส้มควันไม้ประมาณ 10 กิโลกรัม
English to Thai,The analysis of biochar revealed that biochar had 70.49 wt.% of Carbon content with the highest heating value of 25.97 MJ/kg.,จากการวิเคราะห์สมบัติของถ่านชีวภาพพบว่าคาร์บอนเป็นองค์ประกอบร้อยละ 70.49 มีค่าความร้อนสูงสุด 25.97 เมกะจูลต่อกิโลกรัม
English to Thai,"The generated wood vinegar is mainly composed of Phenols and Phenol derivatives, including Guaiacol which has antifungal and antibacterial properties.",ในขณะที่น้ำส้มควันไม้มีองค์ประกอบส่วนใหญ่เป็นฟีนอล (Phenol) และอนุพันธ์ของฟีนอล (Phenol Derivatives) ซึ่งรวมถึงไกวเอคอล (Guaiacol) ที่มีฤทธิ์เป็นสารต้านเชื้อราและสารต้านเชื้อแบคทีเรีย
English to Thai,The wood vinegar could be used in agricultural areas to eliminate root rot disease and plant fungi.,สามารถนำไปใช้ในพื้นที่การเกษตรเพื่อกำจัดโรครากเน่าและกำจัดเชื้อราในพืช
English to Thai,It could also be sprayed in order to inhibit germs growth and some pests as well.,รวมถึงฉีดพ่นเพื่อฆ่าเชื้อโรคและศัตรูพืชบางชนิดได้
English to Thai,"The analysis of costs, the possibility of product creation and implementation presented that the number of payback operations was 16 and resulted in a wide variety of value-added products.",เมื่อวิเคราะห์ต้นทุนรวมถึงความเป็นไปได้ในการสร้างผลิตภัณฑ์และการนำไปใช้ พบว่าจำนวนครั้งในการดำเนินการเพื่อคืนทุนคือ 16 ครั้ง และทำให้เกิดผลิตภัณฑ์มูลค่าเพิ่มหลากหลายรูปแบบ
English to Thai,"This research has applied the YOLOv5 object detection model to help classify rice varieties from images of milled rice grains from the following varieties: Karacadag, Jasmine, Ipsala, Basmati, and Arborio.",งานวิจัยนี้ได้ประยุกต์ใช้วิธีการตรวจหาวัตถุด้วยตัวแบบ YOLOv5 มาช่วยในการจำแนกพันธุ์ข้าวจากภาพของเมล็ดข้าวสารของพันธุ์ข้าวคาราก้าดาก หอมมะลิ ยิปซาลา บาสมาติ และอาโบริโอ
English to Thai,"The research was divided into three main parts: data engineering, which involved developing a Python program to prepare data for artificial intelligence learning; data science operations using Python programming in conjunction with Google Colaboratory for milled rice grain detection; and the development of model accuracy evaluation method.",การดำเนินการวิจัยได้แบ่งเป็นสามส่วนหลัก ได้แก่ การดำเนินการด้านวิศวกรรมข้อมูล ซึ่งเป็นการพัฒนาโปรแกรมด้วยภาษาไพทอนเพื่อใช้ในการจัดเตรียมข้อมูลเพื่อให้ระบบปัญญาประดิษฐ์เรียนรู้การดำเนินการด้านวิทยาการข้อมูลโดยใช้โปรแกรมภาษาไพทอนร่วมกับระบบประมวลผล Google Colaboratory ทำการตรวจหาเมล็ดข้าวสาร และออกแบบการประเมินความแม่นยำของตัวแบบ
English to Thai,"In the data preparation phase, single-grain JPEG images were obtained from https://www.muratkoklu.com/datasets/, and noise reduction, background removal, and conversion to PNG format were performed.",ในส่วนของการจัดเตรียมข้อมูลได้นำรูปเมล็ดข้าวสารเมล็ดเดี่ยวชนิดเจเพ็กจาก https://www.muratkoklu.com/datasets/ มาทำการลดสัญญาณรบกวน กำจัดพื้นหลัง และแปลงเป็นภาพชนิดพีเอ็นจี
English to Thai,"These images were then placed into 800 x 800 pixels images, each containing 20–64 grains, with varying degrees of overlapping: no overlap, and 5, 10, 15, 20, and 25 percent overlap.","แล้วนำมาใส่ในภาพขนาด 800 x 800 จุดภาพ จำนวนภาพละ 20–64 เมล็ด ""โดยมีทั้งรูปแบบไม่มีภาพเมล็ดข้าวสารซ้อนทับกัน มีภาพเมล็ดข้าวสารซ้อนทับกันร้อยละ 5, 10, 15, 20 และ 25"""
English to Thai,"The non-overlapping images were used to train the YOLOv5 model, which was then used to classify rice varieties and identify the locations of various milled rice grains in the images.",จากนั้นนำภาพที่ไม่มีเมล็ดข้าวสารซ้อนทับกันไปฝึกตัวแบบ YOLOv5 แล้วใช้ตัวแบบดังกล่าวจำแนกพันธุ์ข้าวและระบุตำแหน่งต่าง ๆ ของเมล็ดข้าวสารที่ปรากฏในภาพ
English to Thai,The research results showed that the YOLOv5 model could effectively classify all five rice varieties.,ผลการวิจัยพบว่าตัวแบบ YOLOv5 สามารถจำแนกพันธุ์ข้าวของเมล็ดข้าวสารทั้ง 5 สายพันธุ์ได้ดี
English to Thai,"Evaluating the model's accuracy at a threshold of 0.6, it was found that the model could correctly classify rice varieties in images with 0, 5, 10, 15, 20, and 25 percent grain overlap, with accuracy rates of 99.13, 99.00, 98.62, 98.19, 97.56, and 96.89 percent, respectively.","โดยการประเมินความแม่นยำของตัวแบบที่ค่าขีดแบ่ง 0.6 ""พบว่าตัวแบบสามารถจำแนกพันธุ์ข้าวที่ปรากฏในภาพที่มีภาพเมล็ดข้าวสารซ้อนทับกันร้อยละ 0, 5, 10, 15, 20 และ 25 ได้ถูกต้องร้อยละ 99.13, 99.00, 98.62, 98.19, 97.56 และ 96.89 ตามลำดับ"""
English to Thai,This research presents a model and tests the performance of a credit approval determination model by using principal component analysis with machine learning techniques.,งานวิจัยนี้ได้นำเสนอแบบจำลองและทดสอบประสิทธิภาพของแบบจำลองการอนุมัติสินเชื่อในอุตสาหกรรมการเงิน
English to Thai,"Four algorithms: Naïve Bayes, Decision Tree, Random Forest, and Support Vector Machine were tested with 441,335 examples of lending data.","โดยใช้เทคนิคการวิเคราะห์องค์ประกอบร่วมกับการเรียนรู้ด้วยเครื่อง ทดสอบกับอัลกอริทึม 4 วิธี ได้แก่ นาอีฟเบย์ (Naïve Bayes) ต้นไม้การตัดสินใจ (Decision Tree) แรนดอมฟอร์เรส (Random Forest) และซัพพอร์ตเวกเตอร์แมชชีน (Support Vector Machine) ""โดยทดสอบกับชุดข้อมูลการปล่อยกู้จำนวน 441,335 ตัวอย่าง"""
English to Thai,"There are four model performance test results: Accuracy, Precision, Recall, and F-Measure.From the experiment, it was found that the random forest model provides the best accuracy performance of 92.90 percent, followed by support vector machine and decision tree is 87.00 percent, and Naïve Bayes is 83.40 percent, respectively.",ทดสอบประสิทธิภาพของแบบจำลองด้วยค่าความถูกต้อง (Accuracy) ค่าความแม่นยำ (Precision) ค่าความครบถ้วน (Recall) และค่าการวัดประสิทธิภาพโดยรวม (F-Measure)จากการทดลองพบว่าแบบจำลองแรนดอมฟอร์เรส ให้ประสิทธิภาพค่าความถูกต้องดีที่สุดคือร้อยละ 92.90 รองลงมาเป็น ซัพพอร์ตเวกเตอร์แมชชีน และต้นไม้การตัดสินใจ คือร้อยละ 87.00 และนาอีฟเบย์ คือร้อยละ 83.40 ตามลำดับ
English to Thai,It was found that reducing the data dimensions resulted in improved model performance by eliminating insignificant features and solve the problem of the traditional credit approval model that considers the old attribute variables.,ซึ่งพบว่าการลดมิติของข้อมูลส่งผลให้ประสิทธิภาพของแบบจำลองดีขึ้นเนื่องจากตัดคุณลักษณะที่ไม่มีนัยสำคัญทิ้งไป และสามารถแก้ไขปัญหาของแบบจำลองการอนุมัติสินเชื่อแบบเดิมที่พิจารณาจากตัวแปรคุณลักษณะแบบเก่า
English to Thai,The model's performance has improved by considering new attribute variables.,โดยแบบจำลองได้พัฒนาประสิทธิภาพให้ดีขึ้นจากการพิจารณาตัวแปรคุณลักษณะแบบใหม่ ผลของค่าความครบถ้วน (Recall) และค่าการวัดประสิทธิภาพโดยรวม (F-Measure)
English to Thai,"The results of the completeness value (Recall) and the overall performance measurement value (F-Measure) from the experiment found that Random forest model provides the best performance as well as accuracy values were 99.64 and 99.35 percent, respectively, and the highest precision value was 99.07 percent for the random forest model and decision trees.",จากการทดลองพบว่า แบบจำลองแรนดอมฟอร์เรส ให้ประสิทธิภาพดีที่สุด เช่นเดียวกันกับ ค่าความถูกต้อง (Accuracy) คือร้อยละ 99.64 และ 99.35 ตามลำดับ และค่าความแม่นยำ (Precision) มีค่าสูงสุด คือ แบบจำลองแรนดอมฟอร์เรส และต้นไม้การตัดสินใจ เท่ากันที่ร้อยละ 99.07
English to Thai,Planning and ordering construction materials is a highly complex problem in the construction industry as it has to order the right type of material in the right quantity and at the right time.,การวางแผนสั่งวัสดุก่อสร้างเป็นปัญหาที่มีความซับซ้อนสูงในอุตสาหกรรมก่อสร้างเนื่องจากจะต้องสั่งซื้อวัสดุให้ถูกประเภทในปริมาณและช่วงเวลาที่เหมาะสม
English to Thai,Otherwise it will cause losses and consequences.,มิฉะนั้นจะทำให้เกิดความสูญเสียและผลกระทบ
English to Thai,This study is to develop an Economical Order Quantity Model for Construction Projects.,การศึกษาครั้งนี้เป็นการพัฒนาแบบจำลองปริมาณการสั่งซื้อที่ประหยัดสำหรับโครงการก่อสร้าง
English to Thai,"By reducing the limitation of the current method to calculate by ordering the same amount every time and have the same frequency this may result in higher expenses, for example the cost of storing the remaining rebar after ordering in excess of daily demand.",โดยการลดข้อจำกัดของวิธีในปัจจุบันที่คำนวณโดยการสั่งในปริมาณที่เท่ากันทุกครั้ง และมีความถี่ที่เท่ากัน ซึ่งอาจส่งผลให้มีค่าใช้จ่ายสูงขึ้น อาทิเช่น ค่าใช้จ่ายในการกองเก็บเหล็กเส้นที่เหลือจากการสั่งในปริมาณที่เกินกว่าความต้องการในแต่ละวัน
English to Thai,"Therefore, the researcher has studied and developed a Modified Economic Order Quantity Model in order to calculate the timing of ordering rebar in accordance with the project schedule to reduce the ordering cost, holding cost, delivery cost, handling cost, opportunity cost, penalty cost, indirect cost and idling cost and reduce delays in construction activities by using a Genetic Algorithm to help find the best answer for the time and quantity to order construction materials.",ผู้วิจัยจึงได้ศึกษาและพัฒนาแบบจำลองการสั่งซื้อที่ประหยัด เพื่อคำนวณระยะเวลาในการสั่งเหล็กเส้นที่สอดคล้องกับแผนกำหนดเวลาของโครงการ เพื่อลดค่าใช้จ่ายในการสั่งซื้อ ค่าใช้จ่ายในการเก็บรักษา ค่าขนส่ง ค่าขนย้าย ค่าเสียโอกาส ค่าปรับ ค่าใช้จ่ายทางอ้อม และค่าใช้จ่ายที่เกิดจากการว่างงาน และลดความล่าช้าของกิจกรรมก่อสร้าง โดยนำวิธีการเชิงพันธุกรรมมาช่วยในการหาคำตอบที่ดีที่สุดสำหรับระยะเวลาและปริมาณที่จะต้องสั่งวัสดุก่อสร้าง
English to Thai,"This method has the advantage of helping to find the closest answer to the best answer can find the trend of improved answers and help create a plan for ordering steel bars in many forms the above methods have been used to experiment with case study projects, both of which consider the fastest time and the case that takes into account the cheapest cost.",โดยวิธีการดังกล่าวมีข้อดีในการช่วยหาคำตอบที่ใกล้เคียงกับคำตอบที่ดีที่สุด สามารถหาแนวโน้มคำตอบที่ถูกปรับปรุงขึ้น และช่วยสร้างแผนในการสั่งซื้อเหล็กเส้นได้หลาย ๆ รูปแบบ ซึ่งวิธีการข้างต้นได้นำมาทดลองกับโครงการกรณีศึกษาทั้งกรณีที่คำนึงถึงระยะเวลาที่เร็วที่สุด และกรณีที่คำนึงถึงค่าใช้จ่ายที่ถูกที่สุด
English to Thai,It was found that the modified economic order quantity model method compared to EOQ with Planned Shortage and EOQ with quantity discounts found that it can help reduce the time and cost to be less.,พบว่าวิธีการพัฒนาแบบจำลองการสั่งซื้อที่ประหยัดเมื่อเปรียบเทียบกับวิธีการยอมให้มีการขาดแคลนวัสดุตามแผนงาน และวิธีการสั่งซื้อแบบมีส่วนลด พบว่าสามารถช่วยลดระยะเวลาและค่าใช้จ่ายให้น้อยลง
English to Thai,"Between 2020 and 2022, several businesses in Thailand had deficits and wound up due to the government declarations for controlling the epidemic situation with large number of COVID-19 casualties.",ในปี ค.ศ. 2020–2022 ประเทศไทยมีผู้ติดเชื้อและเสียชีวิตจำนวนมากจากการแพร่ระบาดของโควิด-19 การประกาศใช้มาตรการเพื่อควบคุมสถานการณ์การแพร่ระบาดส่งผลให้หลายธุรกิจขาดทุนสะสมและปิดกิจการ
English to Thai,"In this way, it is essential to analyze the impact on such businesses and prepare for the outbreak that may occur in the future.",จึงมีความจำเป็นอย่างยิ่งที่จะต้องศึกษาผลกระทบที่เกิดขึ้นเพื่อรับมือสถานการณ์โรคระบาดในอนาคต
English to Thai,"This research aimed to study the effects of businesses in Vadhana district of Bangkok, Thailand, using foot traffic data obtained by anonymized cell phone GPS location.",ข้อมูลการสัญจรด้วยเท้าที่ใช้ในงานวิจัยนี้ได้จากการติดตามตำแหน่งโทรศัพท์เคลื่อนที่แบบไม่เปิดเผยข้อมูลส่วนบุคคล โดยใช้ระบบดาวเทียมช่วยระบุตำแหน่งบนพื้นโลกเพื่อวิเคราะห์ผลกระทบธุรกิจในเขตวัฒนา จังหวัดกรุงเทพฯ
